"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","LineNumber","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"98",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","98  ","0604742A","Constructive Simulation Systems Development","98  ","Y","Y","U",2012,"Total",27530,NA,NA,NA,NA
"99",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","99  ","0604746A","Automatic Test Equipment Development","99  ","Y","Y","U",2012,"Total",13932,NA,NA,NA,NA
"100",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","100 ","0604760A","Distributive Interactive Simulations (DIS) - Eng Dev","100 ","Y","Y","U",2012,"Total",15357,NA,NA,NA,NA
"101",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","101 ","0604780A","Combined Arms Tactical Trainer (CATT) Core","101 ","Y","Y","U",2012,"Total",21541,NA,NA,NA,NA
"102",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","102 ","0604798A","Brigade Analysis, Integration and Evaluation","102 ","Y","Y","U",2012,"Total",0,NA,NA,NA,NA
"103",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","103 ","0604802A","Weapons and Munitions - Eng Dev","103 ","Y","Y","U",2012,"Total",13384,NA,NA,NA,NA
"104",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","104 ","0604804A","Logistics and Engineer Equipment - Eng Dev","104 ","Y","Y","U",2012,"Total",173902,NA,NA,NA,NA
"105",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","105 ","0604805A","Command, Control, Communications Systems - Eng Dev","105 ","Y","Y","U",2012,"Total",79188,NA,NA,NA,NA
"106",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","106 ","0604807A","Medical Materiel/Medical Biological Defense Equipment - Eng Dev","106 ","Y","Y","U",2012,"Total",26316,NA,NA,NA,NA
"107",2014,"2040A","Research, Development, Test & Eval, Army","ARMY","05","System Development & Demonstration","107 ","0604808A","Landmine Warfare/Barrier - Eng Dev","107 ","Y","Y","U",2012,"Total",73955,NA,NA,NA,NA
