"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BudgetSubActivityTitle","BudgetLineItem","LineNumber","LineNumber","SAG","IncludeInTOA","Classified","FiscalYear","OriginType","Var.16","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1473",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Theater Level Assets","040","040","114","Y","U",2016,"Total",NA,NA,94825,NA,NA,NA
"1474",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Land Forces Operations Support","050","050","115","Y","U",2016,"Total",NA,NA,31224,NA,NA,NA
"1475",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces","Aviation Assets","060","060","116","Y","U",2016,"Total",NA,NA,939907,NA,NA,NA
"1476",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","Force Readiness Operations Support","070","070","121","Y","U",2016,"Total",NA,NA,693549,NA,NA,NA
"1477",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Systems Readiness","080","080","122","Y","U",2016,"Total",NA,NA,67934,NA,NA,NA
"1478",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness","Land Forces Depot Maintenance","090","090","123","Y","U",2016,"Total",NA,NA,165112,NA,NA,NA
"1479",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","Base Operations Support","100","100","131","Y","U",2016,"Total",NA,NA,1018830,NA,NA,NA
"1480",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","Facilities Sustainment, Restoration & Modernization","110","110","132","Y","U",2016,"Total",NA,NA,692586,NA,NA,NA
"1481",2017,"2065A","Operation & Maintenance, ARNG","ARMY","01","Operating Forces","Land Forces Readiness Support","Management and Operational Headquarters","120","120","133","Y","U",2016,"Total",NA,NA,934321,NA,NA,NA
"1482",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Logistics Operations","Servicewide Transportation","130","130","421","Y","U",2016,"Total",NA,NA,6570,NA,NA,NA
"1483",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Administration","140","140","431","Y","U",2016,"Total",NA,NA,52438,NA,NA,NA
"1484",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Servicewide Communications","150","150","432","Y","U",2016,"Total",NA,NA,67616,NA,NA,NA
"1485",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Manpower Management","160","160","433","Y","U",2016,"Total",NA,NA,8298,NA,NA,NA
"1486",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Other Personnel Support","170","170","434","Y","U",2016,"Total",NA,NA,258615,NA,NA,NA
"1487",2017,"2065A","Operation & Maintenance, ARNG","ARMY","04","Admin & Srvwd Activities","Servicewide Support","Real Estate Management","180","180","437","Y","U",2016,"Total",NA,NA,2942,NA,NA,NA
"1488",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Sustainment","010","010","110","Y","U",2016,"Total",NA,NA,2136899,NA,NA,NA
"1489",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Infrastructure","020","020","120","Y","U",2016,"Total",NA,NA,182751,NA,NA,NA
"1490",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Equipment and Transportation","030","030","130","Y","U",2016,"Total",NA,NA,281555,NA,NA,NA
"1491",2017,"2091A","Afghanistan Security Forces Fund","ARMY","01","Ministry of Defense","Defense Forces","Training and Operations","040","040","140","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1492",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Sustainment","050","050","210","Y","U",2016,"Total",NA,NA,869137,NA,NA,NA
"1493",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Infrastructure","060","060","220","Y","U",2016,"Total",NA,NA,116573,NA,NA,NA
"1494",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Equipment and Transportation","070","070","230","Y","U",2016,"Total",NA,NA,65342,NA,NA,NA
"1495",2017,"2091A","Afghanistan Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","Training and Operations","080","080","240","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1496",2017,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","Sustainment","090","090","410","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1497",2017,"2091A","Afghanistan Security Forces Fund","ARMY","04","Detainee Ops","Related Activities","Training and Operations","100","100","440","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1498",2017,"2097A","Iraq Train and Equip Fund","ARMY","01","Iraq Train and Equip Fund","Defense Forces","Iraq Train and Equip Fund","010","010","140","Y","U",2016,"Total",NA,NA,715000,NA,NA,NA
"1499",2017,"2098A","Syria Train and Equip Fund","ARMY","01","Syria Train and Equip Fund","Defense Forces","Syria Train and Equip Fund","010","010","140","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1500",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Mission and Other Flight Operations","010","010","1A1A","Y","U",2016,"Total",NA,NA,4811827,NA,NA,NA
"1501",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Fleet Air Training","020","020","1A2A","Y","U",2016,"Total",NA,NA,1652081,NA,NA,NA
"1502",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Aviation Technical Data & Engineering Services","030","030","1A3A","Y","U",2016,"Total",NA,NA,37335,NA,NA,NA
"1503",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Air Operations and Safety Support","040","040","1A4A","Y","U",2016,"Total",NA,NA,107969,NA,NA,NA
"1504",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Air Systems Support","050","050","1A4N","Y","U",2016,"Total",NA,NA,477845,NA,NA,NA
"1505",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Aircraft Depot Maintenance","060","060","1A5A","Y","U",2016,"Total",NA,NA,989480,NA,NA,NA
"1506",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Aircraft Depot Operations Support","070","070","1A6A","Y","U",2016,"Total",NA,NA,35818,NA,NA,NA
"1507",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","Aviation Logistics","080","080","1A9A","Y","U",2016,"Total",NA,NA,538157,NA,NA,NA
"1508",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","Mission and Other Ship Operations","090","090","1B1B","Y","U",2016,"Total",NA,NA,5145195,NA,NA,NA
"1509",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","Ship Operations Support & Training","100","100","1B2B","Y","U",2016,"Total",NA,NA,803982,NA,NA,NA
"1510",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","Ship Depot Maintenance","110","110","1B4B","Y","U",2016,"Total",NA,NA,7856822,NA,NA,NA
"1511",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","Ship Depot Operations Support","120","120","1B5B","Y","U",2016,"Total",NA,NA,1554812,NA,NA,NA
"1512",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Combat Communications","130","130","1C1C","Y","U",2016,"Total",NA,NA,714920,NA,NA,NA
"1513",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Electronic Warfare","140","140","1C2C","Y","U",2016,"Total",NA,NA,96916,NA,NA,NA
"1514",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Space Systems and Surveillance","150","150","1C3C","Y","U",2016,"Total",NA,NA,191892,NA,NA,NA
"1515",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Warfare Tactics","160","160","1C4C","Y","U",2016,"Total",NA,NA,477287,NA,NA,NA
"1516",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Operational Meteorology and Oceanography","170","170","1C5C","Y","U",2016,"Total",NA,NA,373920,NA,NA,NA
"1517",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Combat Support Forces","180","180","1C6C","Y","U",2016,"Total",NA,NA,1645830,NA,NA,NA
"1518",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Equipment Maintenance","190","190","1C7C","Y","U",2016,"Total",NA,NA,133946,NA,NA,NA
"1519",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Depot Operations Support","200","200","1C8C","Y","U",2016,"Total",NA,NA,2443,NA,NA,NA
"1520",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Combatant Commanders Core Operations","210","210","1CCH","Y","U",2016,"Total",NA,NA,95210,NA,NA,NA
"1521",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","Combatant Commanders Direct Mission Support","220","220","1CCM","Y","U",2016,"Total",NA,NA,71969,NA,NA,NA
"1522",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","Cruise Missile","230","230","1D1D","Y","U",2016,"Total",NA,NA,110734,NA,NA,NA
"1523",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","Fleet Ballistic Missile","240","240","1D2D","Y","U",2016,"Total",NA,NA,1206145,NA,NA,NA
"1524",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","In-Service Weapons Systems Support","250","250","1D3D","Y","U",2016,"Total",NA,NA,202529,NA,NA,NA
"1525",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","Weapons Maintenance","260","260","1D4D","Y","U",2016,"Total",NA,NA,810353,NA,NA,NA
"1526",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Weapons Support","Other Weapon Systems Support","270","270","1D7D","Y","U",2016,"Total",NA,NA,371547,NA,NA,NA
"1527",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","Enterprise Information","280","280","BSIT","Y","U",2016,"Total",NA,NA,872491,NA,NA,NA
"1528",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","Sustainment, Restoration and Modernization","290","290","BSM1","Y","U",2016,"Total",NA,NA,2279319,NA,NA,NA
"1529",2017,"1804N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Base Support","Base Operating Support","300","300","BSS1","Y","U",2016,"Total",NA,NA,4469976,NA,NA,NA
"1530",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Ready Reserve and Prepositioning Force","Ship Prepositioning and Surge","310","310","2A1F","Y","U",2016,"Total",NA,NA,422825,NA,NA,NA
"1531",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Ready Reserve and Prepositioning Force","Ready Reserve Force","320","320","2A2F","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1532",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Activations/Inactivations","Aircraft Activations/Inactivations","330","330","2B1G","Y","U",2016,"Total",NA,NA,6464,NA,NA,NA
"1533",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Activations/Inactivations","Ship Activations/Inactivations","340","340","2B2G","Y","U",2016,"Total",NA,NA,361764,NA,NA,NA
"1534",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Mobilization Preparation","Expeditionary Health Services Systems","350","350","2C1H","Y","U",2016,"Total",NA,NA,102835,NA,NA,NA
"1535",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Mobilization Preparation","Industrial Readiness","360","360","2C2H","Y","U",2016,"Total",NA,NA,2237,NA,NA,NA
"1536",2017,"1804N","Operation & Maintenance, Navy","NAVY","02","Mobilization","Mobilization Preparation","Coast Guard Support","370","370","2C3H","Y","U",2016,"Total",NA,NA,21823,NA,NA,NA
"1537",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Accession Training","Officer Acquisition","380","380","3A1J","Y","U",2016,"Total",NA,NA,149320,NA,NA,NA
"1538",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Accession Training","Recruit Training","390","390","3A2J","Y","U",2016,"Total",NA,NA,9035,NA,NA,NA
"1539",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Accession Training","Reserve Officers Training Corps","400","400","3A3J","Y","U",2016,"Total",NA,NA,156288,NA,NA,NA
"1540",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Basic Skill and Advanced Training","Specialized Skill Training","410","410","3B1K","Y","U",2016,"Total",NA,NA,698380,NA,NA,NA
"1541",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Basic Skill and Advanced Training","Flight Training","420","420","3B2K","Y","U",2016,"Total",NA,NA,8171,NA,NA,NA
"1542",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Basic Skill and Advanced Training","Professional Development Education","430","430","3B3K","Y","U",2016,"Total",NA,NA,165471,NA,NA,NA
"1543",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Basic Skill and Advanced Training","Training Support","440","440","3B4K","Y","U",2016,"Total",NA,NA,196048,NA,NA,NA
"1544",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Recruiting and Other Training & Education","Recruiting and Advertising","450","450","3C1L","Y","U",2016,"Total",NA,NA,230188,NA,NA,NA
"1545",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Recruiting and Other Training & Education","Off-Duty and Voluntary Education","460","460","3C3L","Y","U",2016,"Total",NA,NA,134207,NA,NA,NA
"1546",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Recruiting and Other Training & Education","Civilian Education and Training","470","470","3C4L","Y","U",2016,"Total",NA,NA,69257,NA,NA,NA
"1547",2017,"1804N","Operation & Maintenance, Navy","NAVY","03","Training and Recruiting","Recruiting and Other Training & Education","Junior ROTC","480","480","3C5L","Y","U",2016,"Total",NA,NA,47653,NA,NA,NA
"1548",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Administration","490","490","4A1M","Y","U",2016,"Total",NA,NA,926284,NA,NA,NA
"1549",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Servicewide Support","External Relations","500","500","4A2M","Y","U",2016,"Total",NA,NA,14237,NA,NA,NA
"1550",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Civilian Manpower and Personnel Management","510","510","4A3M","Y","U",2016,"Total",NA,NA,120812,NA,NA,NA
"1551",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Military Manpower and Personnel Management","520","520","4A4M","Y","U",2016,"Total",NA,NA,347008,NA,NA,NA
"1552",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Other Personnel Support","530","530","4A5M","Y","U",2016,"Total",NA,NA,266016,NA,NA,NA
"1553",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Servicewide Communications","540","540","4A6M","Y","U",2016,"Total",NA,NA,326512,NA,NA,NA
"1554",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Spectrum Relocation Pre-Auction","550","550","4A6S","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1555",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Medical Activities","560","560","4A8M","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1556",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Logistics Operations and Technical Support","Servicewide Transportation","570","570","4B1N","Y","U",2016,"Total",NA,NA,354395,NA,NA,NA
"1557",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Logistics Operations and Technical Support","Environmental Programs","580","580","4B2E","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1558",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Logistics Operations and Technical Support","Planning, Engineering and Design","590","590","4B2N","Y","U",2016,"Total",NA,NA,274936,NA,NA,NA
"1559",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Logistics Operations and Technical Support","Acquisition and Program Management","600","600","4B3N","Y","U",2016,"Total",NA,NA,1125766,NA,NA,NA
"1560",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Logistics Operations and Technical Support","Hull, Mechanical and Electrical Support","610","610","4B5N","Y","U",2016,"Total",NA,NA,48587,NA,NA,NA
"1561",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Logistics Operations and Technical Support","Combat/Weapons Systems","620","620","4B6N","Y","U",2016,"Total",NA,NA,25599,NA,NA,NA
"1562",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Logistics Operations and Technical Support","Space and Electronic Warfare Systems","630","630","4B7N","Y","U",2016,"Total",NA,NA,72768,NA,NA,NA
"1563",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Investigations and Security Programs","Naval Investigative Service","640","640","4C1P","Y","U",2016,"Total",NA,NA,590686,NA,NA,NA
"1564",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Support of Other Nations","International Headquarters and Agencies","700","700","4D1Q","Y","U",2016,"Total",NA,NA,4768,NA,NA,NA
"1565",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Cancelled Accounts","Cancelled Account Adjustments","710","710","4EMM","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1566",2017,"1804N","Operation & Maintenance, Navy","NAVY","04","Admin & Srvwd Activities","Cancelled Accounts","Judgement Fund","720","720","4EPJ","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1567",2017,"1804N","Operation & Maintenance, Navy","","04","Admin & Srvwd Activities","","Classified Programs","","","9999","Y","U",2016,"Total",NA,NA,532609,NA,NA,NA
"1568",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","01","Operating Forces","Expeditionary Forces","Operational Forces","010","010","1A1A","Y","U",2016,"Total",NA,NA,1236462,NA,NA,NA
"1569",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","01","Operating Forces","Expeditionary Forces","Field Logistics","020","020","1A2A","Y","U",2016,"Total",NA,NA,1191433,NA,NA,NA
"1570",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","01","Operating Forces","Expeditionary Forces","Depot Maintenance","030","030","1A3A","Y","U",2016,"Total",NA,NA,428583,NA,NA,NA
"1571",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","01","Operating Forces","USMC Prepositioning","Maritime Prepositioning","040","040","1B1B","Y","U",2016,"Total",NA,NA,86176,NA,NA,NA
"1572",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","01","Operating Forces","Base Support","Sustainment, Restoration & Modernization","050","050","BSM1","Y","U",2016,"Total",NA,NA,749079,NA,NA,NA
"1573",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","01","Operating Forces","Base Support","Base Operating Support","060","060","BSS1","Y","U",2016,"Total",NA,NA,2041640,NA,NA,NA
"1574",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","03","Training and Recruiting","Accession Training","Recruit Training","070","070","3A1C","Y","U",2016,"Total",NA,NA,16260,NA,NA,NA
"1575",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","03","Training and Recruiting","Accession Training","Officer Acquisition","080","080","3A2C","Y","U",2016,"Total",NA,NA,975,NA,NA,NA
"1576",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","03","Training and Recruiting","Basic Skill and Advanced Training","Specialized Skill Training","090","090","3B1D","Y","U",2016,"Total",NA,NA,97307,NA,NA,NA
"1577",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","03","Training and Recruiting","Basic Skill and Advanced Training","Professional Development Education","100","100","3B3D","Y","U",2016,"Total",NA,NA,40786,NA,NA,NA
"1578",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","03","Training and Recruiting","Basic Skill and Advanced Training","Training Support","110","110","3B4D","Y","U",2016,"Total",NA,NA,385336,NA,NA,NA
"1579",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","03","Training and Recruiting","Recruiting and Other Training & Education","Recruiting and Advertising","120","120","3C1F","Y","U",2016,"Total",NA,NA,164806,NA,NA,NA
"1580",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","03","Training and Recruiting","Recruiting and Other Training & Education","Off-Duty and Voluntary Education","130","130","3C2F","Y","U",2016,"Total",NA,NA,37721,NA,NA,NA
"1581",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","03","Training and Recruiting","Recruiting and Other Training & Education","Junior ROTC","140","140","3C3F","Y","U",2016,"Total",NA,NA,23397,NA,NA,NA
"1582",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Servicewide Transportation","150","150","4A3G","Y","U",2016,"Total",NA,NA,81153,NA,NA,NA
"1583",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Administration","160","160","4A4G","Y","U",2016,"Total",NA,NA,335167,NA,NA,NA
"1584",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Acquisition and Program Management","180","180","4B3N","Y","U",2016,"Total",NA,NA,74641,NA,NA,NA
"1585",2017,"1106N","Operation & Maintenance, Marine Corps","NAVY","04","Admin & Srvwd Activities","Cancelled Accounts","Cancelled Account Adjustment","190","190","4EMM","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1586",2017,"1106N","Operation & Maintenance, Marine Corps","","04","Admin & Srvwd Activities","","Classified Programs","","","9999","Y","U",2016,"Total",NA,NA,47499,NA,NA,NA
"1587",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Air Operations","Mission and Other Flight Operations","010","010","1A1A","Y","U",2016,"Total",NA,NA,523819,NA,NA,NA
"1588",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Air Operations","Intermediate Maintenance","020","020","1A3A","Y","U",2016,"Total",NA,NA,6278,NA,NA,NA
"1589",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Air Operations","Aircraft Depot Maintenance","030","030","1A5A","Y","U",2016,"Total",NA,NA,103012,NA,NA,NA
"1590",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Air Operations","Aircraft Depot Operations Support","040","040","1A6A","Y","U",2016,"Total",NA,NA,326,NA,NA,NA
"1591",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Air Operations","Aviation Logistics","050","050","1A9A","Y","U",2016,"Total",NA,NA,13436,NA,NA,NA
"1592",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Ship Operations","Mission and Other Ship Operations","060","060","1B1B","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1593",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Ship Operations","Ship Operations Support & Training","070","070","1B2B","Y","U",2016,"Total",NA,NA,557,NA,NA,NA
"1594",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Ship Operations","Ship Depot Maintenance","080","080","1B4B","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1595",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Combat Operations/Support","Combat Communications","090","090","1C1C","Y","U",2016,"Total",NA,NA,13925,NA,NA,NA
"1596",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Combat Operations/Support","Combat Support Forces","100","100","1C6C","Y","U",2016,"Total",NA,NA,122358,NA,NA,NA
"1597",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Weapons Support","Weapons Maintenance","110","110","1D4D","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1598",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Base Support","Enterprise Information","120","120","BSIT","Y","U",2016,"Total",NA,NA,29382,NA,NA,NA
"1599",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Base Support","Sustainment, Restoration and Modernization","130","130","BSMR","Y","U",2016,"Total",NA,NA,51036,NA,NA,NA
"1600",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","01","Operating Forces","Base Support","Base Operating Support","140","140","BSSR","Y","U",2016,"Total",NA,NA,102160,NA,NA,NA
"1601",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Administration","150","150","4A1M","Y","U",2016,"Total",NA,NA,1505,NA,NA,NA
"1602",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Military Manpower and Personnel Management","160","160","4A4M","Y","U",2016,"Total",NA,NA,13782,NA,NA,NA
"1603",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","04","Admin & Srvwd Activities","Servicewide Support","Servicewide Communications","170","170","4A6M","Y","U",2016,"Total",NA,NA,3437,NA,NA,NA
"1604",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","04","Admin & Srvwd Activities","Logistics Operations and Technical Support","Acquisition and Program Management","180","180","4B3N","Y","U",2016,"Total",NA,NA,3210,NA,NA,NA
"1605",2017,"1806N","Operation & Maintenance, Navy Res","NAVY","04","Admin & Srvwd Activities","Cancelled Accounts","Cancelled Account Adjustments","190","190","4EMM","Y","U",2016,"Total",NA,NA,0,NA,NA,NA
"1606",2017,"1107N","Operation & Maintenance, MC Reserve","NAVY","01","Operating Forces","Expeditionary Forces","Operating Forces","010","010","1A1A","Y","U",2016,"Total",NA,NA,99170,NA,NA,NA
"1607",2017,"1107N","Operation & Maintenance, MC Reserve","NAVY","01","Operating Forces","Expeditionary Forces","Depot Maintenance","020","020","1A3A","Y","U",2016,"Total",NA,NA,18254,NA,NA,NA
"1608",2017,"1107N","Operation & Maintenance, MC Reserve","NAVY","01","Operating Forces","Base Support","Sustainment, Restoration and Modernization","030","030","BSM1","Y","U",2016,"Total",NA,NA,30143,NA,NA,NA
"1609",2017,"1107N","Operation & Maintenance, MC Reserve","NAVY","01","Operating Forces","Base Support","Base Operating Support","040","040","BSS1","Y","U",2016,"Total",NA,NA,108810,NA,NA,NA
