"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","PBtotal","PBtype","QuantActualTotal","QuantPBtotal","QuantPBtype"
"70",2012,"2032A","Missile Procurement, Army","ARMY","04","Spares and Repair Parts","10","Spares And Repair Parts","18 ","1242CA0250","Spares And Repair Parts","A","Weapon System Cost","18 ","Add","U",2010,"Total",22269,NA,NA,0,NA,NA
"71",2012,"2032A","Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","10","Support Equipment & Facilities","19 ","1242C93000","Air Defense Targets","A","Weapon System Cost","19 ","Add","U",2010,"Total",4175,NA,NA,0,NA,NA
"72",2012,"2032A","Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","10","Support Equipment & Facilities","20 ","3902CL2000","Items Less Than $5.0m (Missiles)","A","Weapon System Cost","20 ","Add","U",2010,"Total",1174,NA,NA,0,NA,NA
"73",2012,"2032A","Missile Procurement, Army","ARMY","05","Support Equipment and Facilities","10","Support Equipment & Facilities","21 ","4662CA0100","Production Base Support","A","Weapon System Cost","21 ","Add","U",2010,"Total",4384,NA,NA,0,NA,NA
"74",2012,"2032A","Missile Procurement, Army","ARMY","20","Undistributed","99","Undistributed","22 ","FY2011CR","Adj to Match Continuing Resolution","A","Weapon System Cost","22 ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"75",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","1  ","7180G85100","Stryker Vehicle","A","Weapon System Cost","1  ","Add","U",2010,"Total",512774,NA,NA,93,NA,NA
"76",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","2  ","7300G86100","Future Combat Systems: (FCS)","A","Weapon System Cost","2  ","Add","U",2010,"Total",26087,NA,NA,0,NA,NA
"77",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","2  ","7300G86100","Future Combat Systems: (FCS)","B","Less: Advance Procurement (PY)","2  ","Add","U",2010,"Total",-26087,NA,NA,0,NA,NA
"78",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","3  ","7310G86200","FCS Spin Outs","A","Weapon System Cost","3  ","Add","U",2010,"Total",212177,NA,NA,0,NA,NA
"79",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","3  ","7310G86200","FCS Spin Outs","B","Less: Advance Procurement (PY)","3  ","Add","U",2010,"Total",-43139,NA,NA,0,NA,NA
"80",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","10","Tracked Combat Vehicles","4  ","7310G86200","FCS Spin Outs","C","Advance Procurement (CY)","4  ","Add","U",2010,"Total",41871,NA,NA,0,NA,NA
"81",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","5  ","0230GM0100","STRYKER (MOD)","A","Weapon System Cost","5  ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"82",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","6  ","1284GZ2300","Fist Vehicle (MOD)","A","Weapon System Cost","6  ","Add","U",2010,"Total",70087,NA,NA,0,NA,NA
"83",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","7  ","1678GZ2400","Bradley Program (MOD)","A","Weapon System Cost","7  ","Add","U",2010,"Total",768332,NA,NA,0,NA,NA
"84",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","8  ","2072GA0400","Howitzer, Med Sp Ft 155mm M109a6 (MOD)","A","Weapon System Cost","8  ","Add","U",2010,"Total",42608,NA,NA,0,NA,NA
"85",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","9  ","3700GA0570","Improved Recovery Vehicle (M88a2 Hercules)","A","Weapon System Cost","9  ","Add","U",2010,"Total",105215,NA,NA,27,NA,NA
"86",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","10 ","4872G82925","Assault Breacher Vehicle","A","Weapon System Cost","10 ","Add","U",2010,"Total",63055,NA,NA,13,NA,NA
"87",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","11 ","5129G80571","M88 FOV MODS","A","Weapon System Cost","11 ","Add","U",2010,"Total",0,NA,NA,0,NA,NA
"88",2012,"2033A","Procurement of W&TCV, Army","ARMY","01","Tracked Combat Vehicles","20","Modification Of Tracked Combat Vehicles","12 ","5225GZ3001","Joint Assault Bridge","A","Weapon System Cost","12 ","Add","U",2010,"Total",1500,NA,NA,0,NA,NA
