"","SourceFiscalYear","AccountDSI","MilDeptDW","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAG.Title","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"105",2012,"2092","A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","Administration","070","070","200","Iraq Interior Forces","Y","Y","U",2010,"Total",259270,NA,NA,NA,NA
"106",2012,"2092","A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","050","050","ES06","Equipment And Transportation","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"107",2012,"2092","A","Iraq Security Forces Fund","ARMY","02","Ministry of Interior","Interior Forces","060","060","ES08","Sustainment","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"108",2012,"2092","A","Iraq Security Forces Fund","ARMY","03","Associated Activities","Related Activities","080","080","ES10","Quick Response Force","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"109",2012,"2092","A","Iraq Security Forces Fund","ARMY","20","Undistributed","Undistributed","090","090","CR11","Adj to Match Continuing Resolution","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"110",2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","010","010","110","Power","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"111",2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","020","020","120","Transportation","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"112",2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","030","030","130","Water","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"113",2012,"2096","A","Afghanistan Infrastructure Fund","ARMY","01","Power","Administration","040","040","140","Other Related Activities","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"114",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","010","010","1A1A","Mission And Other Flight Operations","Y","Y","U",2010,"Total",4982715,NA,NA,NA,NA
"115",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","020","020","1A2A","Fleet Air Training","Y","Y","U",2010,"Total",125395,NA,NA,NA,NA
"116",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","030","030","1A3A","Aviation Technical Data & Engineering Services","Y","Y","U",2010,"Total",55230,NA,NA,NA,NA
"117",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","040","040","1A4A","Air Operations And Safety Support","Y","Y","U",2010,"Total",136777,NA,NA,NA,NA
"118",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","050","050","1A4N","Air Systems Support","Y","Y","U",2010,"Total",513112,NA,NA,NA,NA
"119",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","060","060","1A5A","Aircraft Depot Maintenance","Y","Y","U",2010,"Total",1293148,NA,NA,NA,NA
"120",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","070","070","1A6A","Aircraft Depot Operations Support","Y","Y","U",2010,"Total",35036,NA,NA,NA,NA
"121",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Air Operations","080","080","1A9A","Aviation Logistics","Y","Y","U",2010,"Total",0,NA,NA,NA,NA
"122",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","090","090","1B1B","Mission And Other Ship Operations","Y","Y","U",2010,"Total",4550975,NA,NA,NA,NA
"123",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","100","100","1B2B","Ship Operations Support & Training","Y","Y","U",2010,"Total",717586,NA,NA,NA,NA
"124",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","110","110","1B4B","Ship Depot Maintenance","Y","Y","U",2010,"Total",6265286,NA,NA,NA,NA
"125",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Ship Operations","120","120","1B5B","Ship Depot Operations Support","Y","Y","U",2010,"Total",1180711,NA,NA,NA,NA
"126",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","130","130","1C1C","Combat Communications","Y","Y","U",2010,"Total",695359,NA,NA,NA,NA
"127",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","140","140","1C2C","Electronic Warfare","Y","Y","U",2010,"Total",79898,NA,NA,NA,NA
"128",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","150","150","1C3C","Space Systems And Surveillance","Y","Y","U",2010,"Total",201871,NA,NA,NA,NA
"129",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","160","160","1C4C","Warfare Tactics","Y","Y","U",2010,"Total",474110,NA,NA,NA,NA
"130",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","170","170","1C5C","Operational Meteorology And Oceanography","Y","Y","U",2010,"Total",343674,NA,NA,NA,NA
"131",2012,"1804","N","Operation & Maintenance, Navy","NAVY","01","Operating Forces","Combat Operations/Support","180","180","1C6C","Combat Support Forces","Y","Y","U",2010,"Total",2474781,NA,NA,NA,NA
