"","SourceFiscalYear","AccountDSI","AccountTitle","MilDeptDW","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","EnactedTotal","EnactedType","PBtotal","PBtype","SAG","SAG.Title","FiscalYear","BudgetSubActivityTitle","BudgetLineItem","ActualTotal"
"136",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Weapons Support",230,NA,NA,NA,NA,"1D1D","Cruise Missile",2010,"","",126775
"137",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Weapons Support",240,NA,NA,NA,NA,"1D2D","Fleet Ballistic Missile",2010,"","",1108483
"138",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Weapons Support",250,NA,NA,NA,NA,"1D3D","In-Service Weapons Systems Support",2010,"","",136573
"139",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Weapons Support",260,NA,NA,NA,NA,"1D4D","Weapons Maintenance",2010,"","",551799
"140",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Weapons Support",270,NA,NA,NA,NA,"1D7D","Other Weapon Systems Support",2010,"","",348727
"141",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Base Support",280,NA,NA,NA,NA,"BSIT","Enterprise Information",2010,"","",973127
"142",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Base Support",290,NA,NA,NA,NA,"BSM1","Sustainment, Restoration And Modernization",2010,"","",1814916
"143",2012,"1804","Operation & Maintenance, Navy","N","NAVY",1,"Operating Forces","Base Support",300,NA,NA,NA,NA,"BSS1","Base Operating Support",2010,"","",4391125
"144",2012,"1804","Operation & Maintenance, Navy","N","NAVY",2,"Mobilization","Ready Reserve And Prepositioning Force",310,NA,NA,NA,NA,"2A1F","Ship Prepositioning And Surge",2010,"","",410811
"145",2012,"1804","Operation & Maintenance, Navy","N","NAVY",2,"Mobilization","Activations/Inactivations",320,NA,NA,NA,NA,"2B1G","Aircraft Activations/Inactivations",2010,"","",6587
"146",2012,"1804","Operation & Maintenance, Navy","N","NAVY",2,"Mobilization","Activations/Inactivations",330,NA,NA,NA,NA,"2B2G","Ship Activations/Inactivations",2010,"","",208988
"147",2012,"1804","Operation & Maintenance, Navy","N","NAVY",2,"Mobilization","Mobilization Preparation",340,NA,NA,NA,NA,"2C1H","Expeditionary Health Services Systems",2010,"","",26850
"148",2012,"1804","Operation & Maintenance, Navy","N","NAVY",2,"Mobilization","Mobilization Preparation",350,NA,NA,NA,NA,"2C2H","Industrial Readiness",2010,"","",2257
"149",2012,"1804","Operation & Maintenance, Navy","N","NAVY",2,"Mobilization","Mobilization Preparation",360,NA,NA,NA,NA,"2C3H","Coast Guard Support",2010,"","",25094
"150",2012,"1804","Operation & Maintenance, Navy","N","NAVY",3,"Training and Recruiting","Accession Training",370,NA,NA,NA,NA,"3A1J","Officer Acquisition",2010,"","",145930
"151",2012,"1804","Operation & Maintenance, Navy","N","NAVY",3,"Training and Recruiting","Accession Training",380,NA,NA,NA,NA,"3A2J","Recruit Training",2010,"","",10437
